Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,5,American Samoa,5510,Production,486,Bananas,2014,2014,tonnes,845,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5510,Production,414,"Beans, green",2014,2014,tonnes,128,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5510,Production,358,Cabbages and other brassicas,2014,2014,tonnes,230,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5510,Production,125,Cassava,2014,2014,tonnes,87,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5510,Production,661,"Cocoa, beans",2014,2014,tonnes,1,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5510,Production,249,Coconuts,2014,2014,tonnes,7007,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5510,Production,397,Cucumbers and gherkins,2014,2014,tonnes,380,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5510,Production,399,Eggplants (aubergines),2014,2014,tonnes,152,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5510,Production,512,"Fruit, citrus nes",2014,2014,tonnes,29,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5510,Production,619,"Fruit, fresh nes",2014,2014,tonnes,,M,Data not available
QC,Crops,5,American Samoa,5510,Production,446,"Maize, green",2014,2014,tonnes,38,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5510,Production,568,"Melons, other (inc.cantaloupes)",2014,2014,tonnes,50,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5510,Production,402,"Onions, shallots, green",2014,2014,tonnes,21,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5510,Production,574,Pineapples,2014,2014,tonnes,519,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5510,Production,156,Sugar cane,2014,2014,tonnes,30,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5510,Production,136,Taro (cocoyam),2014,2014,tonnes,10103,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5510,Production,826,"Tobacco, unmanufactured",2014,2014,tonnes,,M,Data not available
QC,Crops,5,American Samoa,5510,Production,388,Tomatoes,2014,2014,tonnes,92,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5510,Production,463,"Vegetables, fresh nes",2014,2014,tonnes,159,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5510,Production,137,Yams,2014,2014,tonnes,988,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,486,Bananas,2014,2014,tonnes,3483432,,Official data
QC,Crops,7,Angola,5510,Production,782,"Bastfibres, other",2014,2014,tonnes,832,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,176,"Beans, dry",2014,2014,tonnes,401500,,Official data
QC,Crops,7,Angola,5510,Production,358,Cabbages and other brassicas,2014,2014,tonnes,335467,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,217,"Cashew nuts, with shell",2014,2014,tonnes,2028,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,125,Cassava,2014,2014,tonnes,7638880,,Official data
QC,Crops,7,Angola,5510,Production,265,Castor oil seed,2014,2014,tonnes,4027,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,661,"Cocoa, beans",2014,2014,tonnes,414,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,656,"Coffee, green",2014,2014,tonnes,15009,,Official data
QC,Crops,7,Angola,5510,Production,767,Cotton lint,2014,2014,tonnes,1000,*,Unofficial figure
QC,Crops,7,Angola,5510,Production,329,Cottonseed,2014,2014,tonnes,3280,F,FAO estimate
QC,Crops,7,Angola,5510,Production,512,"Fruit, citrus nes",2014,2014,tonnes,268935,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,619,"Fruit, fresh nes",2014,2014,tonnes,39354,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,242,"Groundnuts, with shell",2014,2014,tonnes,252480,,Official data
QC,Crops,7,Angola,5510,Production,56,Maize,2014,2014,tonnes,1686869,,Official data
QC,Crops,7,Angola,5510,Production,79,Millet,2014,2014,tonnes,43056,,Official data
QC,Crops,7,Angola,5510,Production,257,"Oil, palm",2014,2014,tonnes,42000,*,Unofficial figure
QC,Crops,7,Angola,5510,Production,254,"Oil, palm fruit",2014,2014,tonnes,279688,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,402,"Onions, shallots, green",2014,2014,tonnes,26357,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,256,Palm kernels,2014,2014,tonnes,23683,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,574,Pineapples,2014,2014,tonnes,599156,,Official data
QC,Crops,7,Angola,5510,Production,116,Potatoes,2014,2014,tonnes,671468,,Official data
QC,Crops,7,Angola,5510,Production,27,"Rice, paddy",2014,2014,tonnes,42288,,Official data
QC,Crops,7,Angola,5510,Production,328,Seed cotton,2014,2014,tonnes,5700,F,FAO estimate
QC,Crops,7,Angola,5510,Production,289,Sesame seed,2014,2014,tonnes,3126,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,789,Sisal,2014,2014,tonnes,611,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,83,Sorghum,2014,2014,tonnes,48133,,Official data
QC,Crops,7,Angola,5510,Production,236,Soybeans,2014,2014,tonnes,13763,,Official data
QC,Crops,7,Angola,5510,Production,156,Sugar cane,2014,2014,tonnes,526510,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,267,Sunflower seed,2014,2014,tonnes,11826,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,122,Sweet potatoes,2014,2014,tonnes,1928954,,Official data
QC,Crops,7,Angola,5510,Production,826,"Tobacco, unmanufactured",2014,2014,tonnes,2964,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,388,Tomatoes,2014,2014,tonnes,16086,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,463,"Vegetables, fresh nes",2014,2014,tonnes,347504,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,15,Wheat,2014,2014,tonnes,2962,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,486,Bananas,2014,2014,tonnes,262,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,414,"Beans, green",2014,2014,tonnes,100,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,358,Cabbages and other brassicas,2014,2014,tonnes,138,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,426,Carrots and turnips,2014,2014,tonnes,281,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,125,Cassava,2014,2014,tonnes,127,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,401,"Chillies and peppers, green",2014,2014,tonnes,98,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,767,Cotton lint,2014,2014,tonnes,32,F,FAO estimate
QC,Crops,8,Antigua and Barbuda,5510,Production,329,Cottonseed,2014,2014,tonnes,72,F,FAO estimate
QC,Crops,8,Antigua and Barbuda,5510,Production,397,Cucumbers and gherkins,2014,2014,tonnes,65,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,399,Eggplants (aubergines),2014,2014,tonnes,387,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,603,"Fruit, tropical fresh nes",2014,2014,tonnes,6750,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,497,Lemons and limes,2014,2014,tonnes,409,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,56,Maize,2014,2014,tonnes,74,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,571,"Mangoes, mangosteens, guavas",2014,2014,tonnes,1422,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,568,"Melons, other (inc.cantaloupes)",2014,2014,tonnes,1031,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,403,"Onions, dry",2014,2014,tonnes,283,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,574,Pineapples,2014,2014,tonnes,386,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,394,"Pumpkins, squash and gourds",2014,2014,tonnes,377,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,328,Seed cotton,2014,2014,tonnes,110,F,FAO estimate
QC,Crops,8,Antigua and Barbuda,5510,Production,156,Sugar cane,2014,2014,tonnes,,M,Data not available
QC,Crops,8,Antigua and Barbuda,5510,Production,122,Sweet potatoes,2014,2014,tonnes,272,Im,FAO data based on imputation methodology
