Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,5,American Samoa,5312,Area harvested,402,"Onions, shallots, green",2014,2014,ha,10,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5312,Area harvested,156,Sugar cane,2014,2014,ha,32,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5312,Area harvested,136,Taro (cocoyam),2014,2014,ha,2706,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5312,Area harvested,826,"Tobacco, unmanufactured",2014,2014,ha,,M,Data not available
QC,Crops,5,American Samoa,5312,Area harvested,388,Tomatoes,2014,2014,ha,24,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5312,Area harvested,463,"Vegetables, fresh nes",2014,2014,ha,44,Im,FAO data based on imputation methodology
QC,Crops,5,American Samoa,5312,Area harvested,137,Yams,2014,2014,ha,269,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5312,Area harvested,486,Bananas,2014,2014,ha,126966,,Official data
QC,Crops,7,Angola,5312,Area harvested,782,"Bastfibres, other",2014,2014,ha,1172,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5312,Area harvested,176,"Beans, dry",2014,2014,ha,786835,,Official data
QC,Crops,7,Angola,5312,Area harvested,358,Cabbages and other brassicas,2014,2014,ha,83586,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5312,Area harvested,217,"Cashew nuts, with shell",2014,2014,ha,2856,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5312,Area harvested,125,Cassava,2014,2014,ha,755874,,Official data
QC,Crops,7,Angola,5312,Area harvested,265,Castor oil seed,2014,2014,ha,15922,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5312,Area harvested,661,"Cocoa, beans",2014,2014,ha,2695,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5312,Area harvested,656,"Coffee, green",2014,2014,ha,52200,,Official data
QC,Crops,7,Angola,5312,Area harvested,512,"Fruit, citrus nes",2014,2014,ha,27514,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5312,Area harvested,619,"Fruit, fresh nes",2014,2014,ha,8350,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5312,Area harvested,242,"Groundnuts, with shell",2014,2014,ha,335580,,Official data
QC,Crops,7,Angola,5312,Area harvested,56,Maize,2014,2014,ha,1624186,,Official data
QC,Crops,7,Angola,5312,Area harvested,79,Millet,2014,2014,ha,195934,,Official data
